obj: 'INIT', pid: 01
    obj: 'O044', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x054E5000, size: 0x004000, phys: 0x087C588000, tz0 offset: --------
    obj: 'O046', pid: 10, owner: 'scrd', type: '_xrt', perm: rw-, vaddr: 0x054ED000, size: 0x008000, phys: 0x887E673000, tz0 offset: 0x59F000
    obj: 'O047', pid: 10, owner: 'scrd', type: '_ool', perm: rw-, vaddr: 0x054F9000, size: 0x001000, phys: 0x887E67B000, tz0 offset: 0x5A7000

obj: 'pass', pid: 11
    obj: 'K000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x0D0B8000, size: 0x009000, phys: 0x887E262000, tz0 offset: 0x18E000
    obj: 'K001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x0D0C1000, size: 0x001000, phys: 0x887E26B000, tz0 offset: 0x197000
    obj: 'K002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x0D0D0000, size: 0x001000, phys: 0x887E3E0000, tz0 offset: 0x30C000
    obj: 'O035', pid: 12, owner: 'sks ', type: 'ANON', perm: rw-, vaddr: 0x084F5000, size: 0x001000, phys: 0x887E66D000, tz0 offset: 0x599000
    obj: 'O036', pid: 11, owner: 'pass', type: 'ANON', perm: rw-, vaddr: 0x0D0DA000, size: 0x001000, phys: 0x887E66E000, tz0 offset: 0x59A000
    obj: 'O037', pid: 11, owner: 'pass', type: '_ool', perm: rw-, vaddr: 0x0D0E0000, size: 0x001000, phys: 0x887E66F000, tz0 offset: 0x59B000

obj: 'sks ', pid: 12
    obj: 'L000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x082A0000, size: 0x077000, phys: 0x887E26C000, tz0 offset: 0x198000
    obj: 'L001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x08317000, size: 0x002000, phys: 0x887E2E3000, tz0 offset: 0x20F000
